Subzone,PopMale,PopFemale,,,,,,,,Admiralty
JELEBU,15370,15940,,,,,,,,Joo Koon
JOO KOON,-,-,,,,,,,,Joo Seng
JOO SENG,4030,4120,,,,,,,,Jurong Gateway
JURONG GATEWAY,210,240,,,,,,,,Jurong Island And Bukom
JURONG ISLAND AND BUKOM,-,-,,,,,,,,Jurong Port
JURONG PORT,-,-,,,,,,,,Jurong River
JURONG RIVER,-,-,,,,,,,,Jurong West Central
JURONG WEST CENTRAL,31810,31950,,,,,,,,Kaki Bukit
KAKI BUKIT,18210,18940,,,,,,,,Kallang Bahru
KALLANG BAHRU,-,-,,,,,,,,Kallang Way
KALLANG WAY,-,-,,,,,,,,Kampong Bugis
KAMPONG BUGIS,460,460,,,,,,,,Kampong Glam
KAMPONG GLAM,80,40,,,,,,,,Kampong Java
KAMPONG JAVA,5140,5390,,,,,,,,Kampong Tiong Bahru
KAMPONG TIONG BAHRU,4440,4560,,,,,,,,Kampong Ubi
KAMPONG UBI,5890,5910,,,,,,,,Kangkar
KANGKAR,15740,16540,,,,,,,,Katong
KATONG,4440,4910,,,,,,,,Keat Hong
KEAT HONG,19010,19170,,,,,,,,Kebun Bahru
KEBUN BAHRU,10660,11970,,,,,,,,Kembangan
KEMBANGAN,18460,19010,,,,,,,,Kent Ridge
KENT RIDGE,-,-,,,,,,,,Khatib
KHATIB,4980,5270,,,,,,,,Kian Teck
KIAN TECK,-,-,,,,,,,,Kim Keat
KIM KEAT,3840,4130,,,,,,,,Kovan
KOVAN,11960,12840,,,,,,,,Kranji
KRANJI,-,-,,,,,,,,Lakeside (Business)
LAKESIDE (BUSINESS),-,-,,,,,,,,Lakeside (Leisure)
LAKESIDE (LEISURE),570,500,,,,,,,,Lavender
LAVENDER,5070,4610,,,,,,,,Leedon Park
LEEDON PARK,2960,3480,,,,,,,,Leonie Hill
LEONIE HILL,1430,1690,,,,,,,,Lim Chu Kang
LIM CHU KANG,60,50,,,,,,,,Little India
LITTLE INDIA,1680,1580,,,,,,,,Liu Fang
LIU FANG,-,-,,,,,,,,Lorong 8 Toa Payoh
LORONG 8 TOA PAYOH,3420,3730,,,,,,,,Lorong Ah Soo
LORONG AH SOO,15270,17050,,,,,,,,Lorong Chuan
LORONG CHUAN,4090,4400,,,,,,,,Lorong Halus
LORONG HALUS,-,-,,,,,,,,Lorong Halus North
LORONG HALUS NORTH,-,-,,,,,,,,Lower Seletar
LOWER SELETAR,9240,9420,,,,,,,,Loyang East
LOYANG EAST,1060,1080,,,,,,,,Loyang West
LOYANG WEST,100,120,,,,,,,,Mackenzie
MACKENZIE,60,50,,,,,,,,Macpherson
MACPHERSON,14070,14300,,,,,,,,Malcolm
MALCOLM,1380,1570,,,,,,,,Mandai East
MANDAI EAST,-,-,,,,,,,,Mandai Estate
MANDAI ESTATE,990,1100,,,,,,,,Mandai West
MANDAI WEST,-,-,,,,,,,,Margaret Drive
MARGARET DRIVE,7710,8380,,,,,,,,Marina Centre
MARINA CENTRE,-,-,,,,,,,,Marina East
MARINA EAST,-,-,,,,,,,,Marina East (Mp)
MARINA EAST (MP),-,-,,,,,,,,Marina South
MARINA SOUTH,-,-,,,,,,,,Marine Parade
MARINE PARADE,12530,14350,,,,,,,,Maritime Square
MARITIME SQUARE,1770,1850,,,,,,,,Marymount
MARYMOUNT,14680,14940,,,,,,,,Matilda
MATILDA,25610,26590,,,,,,,,Maxwell
MAXWELL,-,-,,,,,,,,Mei Chin
MEI CHIN,7350,8210,,,,,,,,Midview
MIDVIEW,17660,17610,,,,,,,,Monk's Hill
MONK'S HILL,520,510,,,,,,,,Moulmein
MOULMEIN,4720,4580,,,,,,,,Mount Emily
MOUNT EMILY,770,860,,,,,,,,Mount Pleasant
MOUNT PLEASANT,350,340,,,,,,,,Mountbatten
MOUNTBATTEN,4720,5260,,,,,,,,Murai
MURAI,290,350,,,,,,,,Nassim
NASSIM,4410,5110,,,,,,,,National University Of S'pore
NATIONAL UNIVERSITY OF S'PORE,70,170,,,,,,,,Nature Reserve
NATURE RESERVE,1810,2040,,,,,,,,Nee Soon
NEE SOON,440,450,,,,,,,,Newton Circus
NEWTON CIRCUS,140,110,,,,,,,,Nicoll
NICOLL,150,140,,,,,,,,North Coast
NORTH COAST,6130,5970,,,,,,,,North0Eastern Islands
